Trained with audiocaption0

Epoch	train_loss	val_loss	epoch_time	learing_rate	time_stamp
89	2.33738	2.77647	111.063s	2.5e-05	2023-02-25 02:40:04
90	2.31917	2.77668	105.266s	2.5e-05	2023-02-25 02:41:50
91	2.3189	2.76323	102.629s	2.5e-05	2023-02-25 02:43:32
92	2.31475	2.77221	107.02s	1.25e-05	2023-02-25 02:45:19
93	2.31483	2.78367	105.415s	1.25e-05	2023-02-25 02:47:05
94	2.312	2.75783	89.307s	1.25e-05	2023-02-25 02:48:34
95	2.31353	2.76034	105.642s	1.25e-05	2023-02-25 02:50:20
96	2.31681	2.76853	105.171s	1.25e-05	2023-02-25 02:52:06
97	2.3032	2.77216	99.9378s	1.25e-05	2023-02-25 02:58:30
98	2.30709	2.77939	107.393s	1.25e-05	2023-02-25 03:00:18
99	2.31616	2.79624	107.346s	1.25e-05	2023-02-25 03:02:06
100	2.28744	2.7851	96.6242s	1.25e-05	2023-02-25 03:03:42
101	2.30627	2.77284	93.9899s	1.25e-05	2023-02-25 03:05:17
102	2.31157	2.764	86.5865s	1.25e-05	2023-02-25 03:06:43
103	2.29121	2.76858	101.139s	1.25e-05	2023-02-25 03:08:25
